customer_id,email,loyalty_points,feedback_score,preferred_store,newsletter_subscribed
58,geetikapandit@example.org,NA,,Bengaluru,
59,yasti25@example.com,2853,,,Y
60,ethan60@example.com,,9,Mumbai,N
61,praneelchanda@example.net,78,3,,
62,hamsini11@example.org,,,Mumbai,No
63,sarkarvasana@example.org,NA,,,N
64,,1294,,,No
65,,,,Bengaluru,Y
66,ishanvi58@example.com,,9,,Y
67,aarushshah@example.net,,9,Mumbai,
68,venkataramanfalguni@example.net,NA,,,
69,echeema@example.com,,,,Y
70,widishade@example.net,,,Hyderabad,No
71,aptefrado@example.com,,9,Hyderabad,No
72,,,8,Hyderabad,Y
73,nbassi@example.com,,9,,
74,forumsrinivas@example.org,1542,9,Mumbai,N
75,mason11@example.com,,9,Bengaluru,No
76,pallabrijesh@example.net,4039,,Hyderabad,N
77,nbadami@example.com,,,Bengaluru,
78,lakshmidey@example.net,,,,
79,bhavika98@example.com,NA,,Hyderabad,Y
80,kaurgeetika@example.net,NA,9,Hyderabad,
81,dharyutika@example.org,,3,Mumbai,
82,labanwason@example.net,NA,5,Mumbai,
83,,NA,,,No
84,ybabu@example.net,,6,Hyderabad,
85,rdeol@example.org,NA,,Hyderabad,Yes
86,glad@example.com,3937,,Hyderabad,
87,ubika42@example.net,761,6,Hyderabad,N
88,unnatibala@example.org,NA,,,
89,jwalia@example.org,,,Hyderabad,
90,kallavarenya@example.net,NA,,,N
91,wsheth@example.com,NA,9,Hyderabad,Y
92,patrickvala@example.net,3174,,Hyderabad,
93,kmander@example.org,NA,2,,
94,champakchandran@example.net,NA,,Hyderabad,No
95,sarnagaurav@example.org,NA,9,,N
96,bhavna34@example.org,4496,,Bengaluru,
97,jagatbanik@example.org,3791,9,,
98,ekapadupadhyay@example.org,NA,,Bengaluru,Yes
99,sandalzayan@example.org,1138,3,Hyderabad,
100,sureshyashica@example.com,NA,9,Hyderabad,No
101,guhafinn@example.net,NA,9,Hyderabad,
102,raghavangaurav@example.com,NA,7,,
103,kmanda@example.net,3148,9,Hyderabad,No
104,bhandarineha@example.com,4709,,,No
105,nraval@example.org,,4,Bengaluru,No
106,shivani01@example.com,2665,9,Mumbai,
107,libni10@example.net,2083,,Bengaluru,Y
108,harshilbora@example.org,NA,9,,Y
109,jalsathakkar@example.com,4428,,Mumbai,
110,aditya60@example.org,NA,,Mumbai,Y
111,,1779,9,,Y
112,pallcaleb@example.com,NA,,Mumbai,
113,luppal@example.com,3837,10,Hyderabad,
114,,NA,,,
115,balvan24@example.net,NA,9,Mumbai,
116,ipillay@example.com,1416,,Bengaluru,Yes
117,,4110,3,,
118,mitalimore@example.com,,1,Mumbai,Y
119,anikamohanty@example.org,156,7,,
120,alexander78@example.org,4959,8,Mumbai,
121,radhakrishnanethan@example.com,4953,6,,N
122,indrajit34@example.org,NA,,Hyderabad,
123,jmagar@example.net,,,Bengaluru,Yes
124,kotharivansha@example.com,,9,Bengaluru,Yes
125,umukherjee@example.com,NA,6,,
126,gavin85@example.org,NA,,,
127,oliverwarrior@example.com,,,,
128,avnibaral@example.com,NA,9,Mumbai,No
129,ychoudhury@example.com,NA,,,Yes
130,mahajananjali@example.net,NA,,,Yes
131,unagar@example.net,2494,,Hyderabad,
132,lila11@example.org,NA,7,Hyderabad,No
133,mohinisharma@example.com,NA,,Bengaluru,
134,bina15@example.com,,10,,Y
135,amritamammen@example.com,NA,,Bengaluru,N
136,,,7,Hyderabad,
137,harrisonraju@example.net,,9,,Yes
138,udarshsoman@example.com,NA,,Hyderabad,
139,tanveersani@example.net,,,Bengaluru,Yes
140,yashawiniahuja@example.net,128,,Hyderabad,No
141,madanjanani@example.com,,,,No
142,,,,Mumbai,N
143,advaithbail@example.net,NA,4,Hyderabad,N
144,butalaaayush@example.org,NA,,Hyderabad,N
145,xiti10@example.net,519,,,
146,szachariah@example.com,NA,,Bengaluru,
147,anirudhhans@example.net,NA,9,Mumbai,Y
148,ethansrinivas@example.org,NA,4,Bengaluru,No
149,alexander03@example.com,4303,,Hyderabad,Yes
150,dprakash@example.net,NA,,,Y
151,,4751,,Mumbai,
152,gagan51@example.org,,4,Hyderabad,N
153,ekanioak@example.net,1569,,Hyderabad,No
154,bhavinidhawan@example.org,,,Bengaluru,No
155,lbarman@example.com,4189,,Hyderabad,Yes
156,,NA,5,,N
157,desairayaan@example.net,306,,Bengaluru,Yes
158,michael97@example.com,,9,,
159,ckaur@example.com,NA,10,,No
160,pauekaraj@example.com,739,3,Hyderabad,
161,bhaktayutika@example.org,NA,,Hyderabad,
162,ayaan03@example.org,NA,,Hyderabad,Yes
163,chatreshsrinivasan@example.com,,,Bengaluru,No
164,mammenupadhriti@example.com,NA,,,
165,jalsa64@example.net,4089,,Bengaluru,Y
166,zbhat@example.com,NA,10,Hyderabad,
167,,,,Hyderabad,Yes
168,harsh74@example.net,1270,,Bengaluru,N
169,aadisoni@example.net,4948,,Hyderabad,Yes
170,aadhya32@example.com,1649,,Hyderabad,Y
171,charvi77@example.org,NA,,Bengaluru,N
172,yashodhara44@example.org,4563,,Hyderabad,N
173,xzachariah@example.org,,,Mumbai,No
174,,2740,9,Mumbai,Yes
175,vsavant@example.org,,,Mumbai,N
176,sachdevapatrick@example.net,964,9,Bengaluru,Y
177,ubikapadmanabhan@example.com,NA,,Hyderabad,No
178,atharvmangat@example.org,,,Mumbai,Yes
179,banerjeeati@example.net,NA,2,Mumbai,Y
180,vedant04@example.org,NA,9,Bengaluru,
181,etathakkar@example.net,,,Bengaluru,
182,basuadya@example.com,,9,,Yes
183,mitali87@example.com,2738,,,No
184,ahluwaliajalsa@example.org,212,9,Mumbai,Yes
185,,NA,,Bengaluru,No
186,agastya80@example.com,NA,9,Hyderabad,Yes
187,mkhalsa@example.com,NA,9,Bengaluru,
188,vanyakibe@example.net,4761,,Mumbai,No
189,amoldixit@example.org,NA,9,Hyderabad,Y
190,balikaran@example.org,3779,9,Mumbai,N
191,pratyush67@example.net,NA,,Mumbai,Yes
192,abeer69@example.org,NA,9,Mumbai,Yes
193,hemanirajan@example.com,,,Hyderabad,
194,horachampak@example.net,,9,Hyderabad,
195,indiraraj@example.org,,2,Mumbai,Yes
196,yogisiya@example.net,NA,9,Mumbai,
197,ymohan@example.net,NA,,Mumbai,
198,utkarsh90@example.com,2483,,Mumbai,Y
199,,NA,,,N
200,yadavisalvi@example.net,NA,,Hyderabad,Yes
201,fpandey@example.net,1622,,,
202,modinandini@example.com,1962,,Hyderabad,Y
203,bassiabhimanyu@example.net,NA,,Mumbai,N
204,aradhanaanand@example.org,4603,4,Bengaluru,Yes
205,anirudh61@example.net,,,Mumbai,
206,chanderbalendra@example.net,NA,9,Mumbai,
207,karasudiksha@example.com,3130,9,Hyderabad,Yes
208,,NA,9,Mumbai,N
209,reyansh91@example.org,NA,5,Bengaluru,
210,lakshit32@example.org,,1,Bengaluru,N
211,narainneha@example.org,NA,,Mumbai,
212,fbhat@example.org,NA,9,Bengaluru,N
213,anyanarayan@example.com,2985,9,Hyderabad,N
214,bosemax@example.com,,,Hyderabad,N
215,manthanpatil@example.net,,,,Yes
216,kibeparth@example.net,NA,9,Mumbai,
217,jairajoza@example.com,NA,9,Hyderabad,
218,ladlibhat@example.com,,,Hyderabad,
219,jhalaklall@example.com,,,Mumbai,
220,ijaya64@example.com,NA,,Mumbai,No
221,sankarnakul@example.org,2308,9,Hyderabad,Y
222,keersai@example.org,3154,,,N
223,,,,Hyderabad,
224,leena72@example.com,NA,,,N
225,,,5,Mumbai,
226,vvarughese@example.org,,3,Bengaluru,N
227,onveer60@example.net,3876,8,Hyderabad,
228,nidra18@example.com,NA,,Hyderabad,Yes
229,nbajaj@example.net,,,Bengaluru,N
230,yloyal@example.org,,1,Mumbai,N
231,jeremiah59@example.com,,,Hyderabad,
232,tristan53@example.net,NA,9,Bengaluru,No
233,psampath@example.org,1816,4,,Y
234,danielvenkatesh@example.org,NA,,Hyderabad,Y
235,sinhasamarth@example.net,,9,,Yes
236,,NA,6,,
237,,NA,9,Hyderabad,Yes
238,,NA,,Bengaluru,
239,jagvisharma@example.com,,,Bengaluru,No
240,aarnadugar@example.net,4113,9,Hyderabad,N
241,balveer36@example.org,4884,,Mumbai,
242,gbutala@example.com,NA,,Bengaluru,Y
243,mhanda@example.org,2263,,Bengaluru,
244,balanfalak@example.com,NA,9,Hyderabad,
245,,4313,9,,Y
246,johalaachal@example.com,,,Mumbai,
247,simonbir@example.org,,9,,N
248,jkapadia@example.org,4613,8,Bengaluru,
249,zloke@example.com,,,,N
250,boasekiaan@example.com,,9,Hyderabad,Yes
251,rishi03@example.com,NA,,Bengaluru,Yes
252,imaran23@example.org,3012,9,,Yes
253,danichampak@example.com,NA,9,Hyderabad,Yes
254,xraju@example.com,,7,,
255,bariaedhitha@example.net,,9,Bengaluru,Y
256,naksh57@example.org,,,Mumbai,
257,isarraf@example.org,1313,9,Mumbai,
258,ethannarayan@example.org,NA,9,Hyderabad,Y
259,bahadurjitbhasin@example.net,,,Mumbai,Yes
260,karsanaya@example.org,NA,9,,N
261,bandidhriti@example.org,NA,9,Hyderabad,
262,jsaxena@example.com,,,Bengaluru,No
263,dakshsinghal@example.com,NA,,Bengaluru,Yes
264,kapoorom@example.net,,,Mumbai,Y
265,sachiray@example.net,,,,Yes
266,lalmitali@example.org,4720,9,,Yes
267,,4042,9,Bengaluru,No
268,william32@example.net,,9,Bengaluru,
269,,,,Mumbai,Y
270,,,,,
271,udant38@example.net,,9,Mumbai,Yes
272,,510,9,Mumbai,
273,jagvi87@example.com,,,Mumbai,
274,bajajbenjamin@example.org,4284,,,No
275,sidhugunbir@example.com,,9,Mumbai,N
276,loyalchaaya@example.org,,9,Bengaluru,Yes
277,teerthdar@example.com,,9,Bengaluru,Y
278,qarindugar@example.net,NA,,,
279,ddeshpande@example.com,1464,,Hyderabad,N
280,ppradhan@example.com,649,2,Bengaluru,Y
281,bimaladey@example.net,102,9,Bengaluru,N
282,kmajumdar@example.org,,7,Mumbai,Yes
283,zarna83@example.net,,6,Mumbai,
284,,NA,,,Yes
285,aadhyagill@example.org,NA,,Mumbai,No
286,sampathmohammed@example.com,4302,,,Yes
287,redwin@example.com,,8,Hyderabad,
288,rajagopalupadhriti@example.net,,,Bengaluru,N
289,varenya67@example.com,2501,,Hyderabad,
290,,,9,Mumbai,N
291,,NA,9,Bengaluru,N
292,jgole@example.com,3365,,Hyderabad,
293,charles46@example.org,,1,Bengaluru,N
294,,1708,,,N
295,lakshitvarkey@example.org,NA,,Hyderabad,Y
296,jagat27@example.org,,,,Yes
297,saumya24@example.net,,,,Y
298,dhalder@example.org,4728,8,,
299,pandyaabeer@example.com,,3,Hyderabad,No
300,chakrabartieta@example.org,NA,,Mumbai,No
301,gauri37@example.org,NA,9,Mumbai,
302,akuruvilla@example.com,,,Hyderabad,
303,chandagagan@example.org,391,9,Mumbai,No
304,hbhalla@example.com,,,Mumbai,Yes
305,wishiramesh@example.net,3958,7,,No
306,baradishita@example.com,,,Hyderabad,Y
307,chaudharyoeshi@example.org,NA,,Bengaluru,Yes
308,,3151,9,Hyderabad,No
309,okonda@example.com,NA,,Bengaluru,No
310,koak@example.org,4994,,Bengaluru,
311,warinder63@example.net,,7,Bengaluru,N
312,yashpuri@example.net,3262,9,Bengaluru,
313,balvan02@example.net,,,Mumbai,
314,vasachandran@example.org,,,Hyderabad,
315,lilahora@example.org,3636,9,Bengaluru,Y
316,udarsh40@example.com,1069,,Hyderabad,Yes
317,omya93@example.net,1110,,,No
318,comarati@example.com,3546,9,,
319,kapadiazinal@example.com,1450,2,Mumbai,Yes
320,anikahari@example.com,1524,,,No
321,prakashalexander@example.org,,,Hyderabad,Y
322,paninithakur@example.org,2594,,Bengaluru,Yes
323,zchahal@example.com,4249,,,Yes
324,yug01@example.com,1041,10,Mumbai,No
325,mrajagopal@example.org,NA,,Bengaluru,
326,,NA,9,Mumbai,Y
327,bhagattanveer@example.com,,9,Mumbai,No
328,arjunbhavsar@example.com,NA,9,Bengaluru,
329,yauvanigoyal@example.net,,,Bengaluru,Yes
330,wbuch@example.org,NA,,Bengaluru,N
331,kritika10@example.net,NA,9,Bengaluru,
332,wahabkonda@example.org,NA,,Bengaluru,N
333,jonathan61@example.org,,8,Mumbai,
334,chakradev49@example.net,4830,,,Yes
335,,NA,,Hyderabad,
336,krisha13@example.com,NA,,Mumbai,No
337,hayresanaya@example.net,NA,1,Mumbai,No
338,noahbabu@example.com,NA,6,Bengaluru,N
339,svohra@example.org,NA,9,,
340,qasimkashyap@example.com,4529,,Mumbai,Yes
341,aadi01@example.com,3902,9,Hyderabad,No
342,echopra@example.com,,,Mumbai,No
343,aashisavant@example.com,NA,7,,No
344,naveenraghavan@example.com,,10,Hyderabad,N
345,ekiyachada@example.com,NA,,Bengaluru,
346,ishanvi21@example.net,NA,,,
347,oeshi21@example.com,3270,9,Mumbai,N
348,,3304,,Bengaluru,
349,tanish58@example.net,1586,,Bengaluru,No
350,janani86@example.net,,3,Mumbai,No
351,yagnesh72@example.org,,,Hyderabad,No
352,oeshiwason@example.org,,,Bengaluru,No
353,sathvik10@example.net,,,,Yes
354,nigambachittar@example.com,,,Bengaluru,No
355,kalpit70@example.com,NA,1,Bengaluru,N
356,,NA,5,Bengaluru,
357,manbirloyal@example.com,,9,Hyderabad,Y
358,yjaggi@example.net,,5,Bengaluru,N
359,ikshitasankaran@example.net,NA,9,Bengaluru,Yes
360,sarthakdoshi@example.net,,,Bengaluru,
361,samar35@example.com,,9,Hyderabad,
362,,NA,9,Mumbai,N
363,mukherjeeanita@example.com,4231,,Hyderabad,
364,champak35@example.net,,,Hyderabad,Yes
365,,NA,,,No
366,,,10,Hyderabad,Yes
367,kamyalanka@example.com,,,Bengaluru,Y
368,routnandini@example.net,NA,2,,Yes
369,bhattidaksh@example.net,,,Bengaluru,N
370,krishcontractor@example.net,NA,,Hyderabad,
371,aahanakhosla@example.com,,9,Mumbai,
372,bhavinimand@example.org,3848,,Bengaluru,Y
373,triyakakar@example.net,,,Mumbai,N
374,gautamprabhakar@example.com,,,Bengaluru,N
375,sathebhavika@example.net,,9,Hyderabad,
376,korpalnitara@example.net,,7,,
377,jainyash@example.com,NA,9,Bengaluru,
378,oviyaganesh@example.org,,8,Mumbai,Y
379,,3947,2,Mumbai,
380,,542,,Bengaluru,Yes
381,aarnavjayaraman@example.org,NA,,Hyderabad,No
382,daniel60@example.com,2825,2,Mumbai,N
383,ukeer@example.org,1584,,Mumbai,
384,,,9,Bengaluru,
385,walladhriti@example.org,NA,,Bengaluru,
386,vramesh@example.net,4359,7,,
387,xalak62@example.net,,9,Bengaluru,No
388,omajakrishna@example.net,NA,,Bengaluru,N
389,srivastavaharish@example.org,3491,,Hyderabad,
390,urmi96@example.com,NA,,Bengaluru,Y
391,jeevika72@example.org,NA,,,No
392,ikbalnatt@example.org,,,,Y
393,kamalachadha@example.com,,9,Hyderabad,
394,radhika37@example.com,,6,,
395,srivastavawahab@example.org,,9,Bengaluru,No
396,,,,Mumbai,
397,nathaniel35@example.com,NA,,Bengaluru,
398,gkala@example.org,,,Mumbai,Y
399,qnigam@example.net,NA,9,Bengaluru,Y
400,jagratisarna@example.org,,,Hyderabad,No
401,vrishti54@example.com,4347,9,Mumbai,N
402,tristantripathi@example.net,820,,Hyderabad,Yes
403,saurora@example.net,NA,9,Hyderabad,N
404,qwali@example.com,,,Bengaluru,Yes
405,dvora@example.org,,,Bengaluru,
406,gbhasin@example.com,3091,,,No
407,maanas13@example.net,NA,9,Hyderabad,N
408,bimala61@example.net,2951,,Mumbai,Y
409,bhavnaravi@example.net,3084,,Mumbai,
410,biswasjagdish@example.com,,9,Bengaluru,Y
411,damyanti48@example.org,NA,9,Bengaluru,No
412,khosladevika@example.org,,,Mumbai,Y
413,lakshit24@example.com,,9,Mumbai,
414,keyamisra@example.com,,9,,
415,jpalan@example.com,1880,,Hyderabad,
416,plata@example.org,2576,10,,Yes
417,mitesh24@example.net,,,,N
418,qadim08@example.net,,9,Bengaluru,Y
419,bhanumatimukhopadhyay@example.org,,5,,
420,taraharshil@example.org,4682,,,Y
421,dhayre@example.org,3001,,Bengaluru,
422,zayan09@example.com,NA,,Hyderabad,Yes
423,,NA,6,,Yes
424,krishnasehgal@example.com,,9,Hyderabad,No
425,divyabrar@example.com,NA,,Mumbai,
426,rachitasom@example.com,NA,,Hyderabad,
427,dhruvwalla@example.org,,8,Mumbai,N
428,rsura@example.net,1995,9,Mumbai,Yes
429,wakeeta97@example.net,1287,,Mumbai,No
430,yutikasrivastava@example.org,,,Hyderabad,N
431,upkaarnaidu@example.com,,,Hyderabad,Yes
432,paivarenya@example.com,,9,Mumbai,N
433,,NA,10,Hyderabad,
434,rmagar@example.net,,10,Mumbai,Yes
435,saanvithaker@example.org,NA,,Bengaluru,Y
436,neha84@example.net,NA,9,Bengaluru,
437,pbera@example.net,NA,9,,
438,logansarma@example.com,,7,Bengaluru,Y
439,rnagy@example.com,,8,Hyderabad,
440,shaurya66@example.net,3643,8,,N
441,akshayjayaraman@example.org,NA,5,Hyderabad,No
442,gvasa@example.com,NA,,Bengaluru,Y
443,shravyaparekh@example.com,NA,9,,N
444,,NA,9,,
445,,NA,9,,Y
446,aashi47@example.net,NA,,Hyderabad,
447,zchaudhary@example.org,,1,Hyderabad,
448,,,9,Mumbai,N
449,gautami87@example.com,NA,,Bengaluru,Y
450,simondada@example.org,NA,9,Hyderabad,No
451,korpalrayaan@example.net,,,Mumbai,Yes
452,purianusha@example.net,2171,,Hyderabad,Y
453,fkorpal@example.org,NA,3,Mumbai,No
454,varughesethomas@example.com,,9,,No
455,nishasoni@example.org,NA,9,,N
456,eiravati96@example.org,NA,6,Bengaluru,
457,lavanyadivan@example.com,2374,,Hyderabad,Y
458,oommennilima@example.org,,10,Hyderabad,
459,warda98@example.org,,9,Mumbai,
460,leena69@example.net,NA,7,Mumbai,Y
461,umang88@example.org,NA,,Hyderabad,Y
462,nitesh58@example.com,,9,,
463,bajajgirish@example.com,NA,,,N
464,warjas68@example.org,,,Mumbai,Y
465,sheredevansh@example.com,4129,,,No
466,rameshjanani@example.net,,1,Hyderabad,Y
467,mangalfrederick@example.net,NA,,,
468,riyapradhan@example.net,,3,Hyderabad,
469,amrita09@example.com,,1,,No
470,advay00@example.com,448,,Bengaluru,Y
471,,NA,4,Mumbai,N
472,wparmer@example.org,3925,7,,
473,nathangera@example.com,2379,9,,Y
474,maanassem@example.com,NA,,Mumbai,
475,calebwason@example.com,NA,6,Mumbai,
476,isaac55@example.org,,,Mumbai,
477,rajagopalannilima@example.net,,,Mumbai,N
478,yvarma@example.com,3986,,Mumbai,
479,yuvraj76@example.org,,9,Mumbai,Yes
480,chaudhariikbal@example.net,323,2,Mumbai,Yes
481,fgour@example.org,4704,4,Mumbai,Y
482,singhalojasvi@example.org,NA,,Bengaluru,No
483,mkadakia@example.net,2079,,Hyderabad,N
484,anitagokhale@example.com,NA,,Bengaluru,Y
485,hkuruvilla@example.net,NA,7,Mumbai,N
486,chameli27@example.org,,2,Mumbai,
487,sampathrudra@example.com,NA,,Hyderabad,N
488,gahluwalia@example.com,NA,,Bengaluru,No
489,madhavsodhi@example.com,573,9,Mumbai,N
490,jonathan00@example.net,2166,,Hyderabad,Yes
491,ucchalmangat@example.com,,,Bengaluru,No
492,kalelekha@example.org,1065,,,
493,zanne@example.net,NA,6,Bengaluru,Y
494,,3039,9,Hyderabad,
495,deshmukhdaniel@example.net,4830,,Hyderabad,
496,raghav43@example.com,,3,,Y
497,sai49@example.org,NA,,Bengaluru,N
498,chackopranit@example.org,,9,Hyderabad,
499,suleyamini@example.com,4794,9,,No
500,acharyacharan@example.org,300,,Hyderabad,Yes
501,kiaanbadami@example.net,NA,,Mumbai,N
502,dinonveer@example.com,,9,Bengaluru,No
503,harish59@example.com,NA,,Mumbai,No
504,deoljonathan@example.org,NA,,Bengaluru,No
505,pillaipushti@example.org,2282,7,Hyderabad,
506,ksaran@example.net,,9,Bengaluru,No
507,neel92@example.com,,6,Mumbai,No
508,mitranaksh@example.com,NA,,Mumbai,Y
509,timothy78@example.com,1481,,Mumbai,Yes
510,wsen@example.org,1886,,Bengaluru,Yes
511,rishinarayan@example.com,,4,,Y
512,tmishra@example.com,,2,Bengaluru,
513,parmarbina@example.org,NA,,Mumbai,No
514,megha42@example.net,,,Mumbai,N
515,ekiyahans@example.org,1610,,,
516,qarin70@example.net,,9,,Y
517,godazayyan@example.com,NA,,Mumbai,N
518,fdas@example.com,1221,8,Hyderabad,Yes
519,chaitalytara@example.org,,,,
520,papte@example.com,571,,,No
521,qabil19@example.net,3428,,Mumbai,Yes
522,zayan49@example.com,,,Mumbai,N
523,vrishti51@example.org,1404,,Mumbai,Yes
524,,4516,,,
525,raghav31@example.net,NA,,Mumbai,No
526,inaya63@example.com,NA,7,Mumbai,Y
527,anusha22@example.com,NA,9,Mumbai,Yes
528,tripti99@example.com,NA,,Mumbai,
529,chasmum52@example.net,2586,,Hyderabad,N
530,oshasaini@example.net,,,,Yes
531,upmatripathi@example.org,781,9,Bengaluru,
532,aarinidutt@example.net,NA,1,,Y
533,raveljyoti@example.org,,9,Bengaluru,
534,nakul87@example.net,NA,9,Mumbai,
535,bawagayathri@example.net,424,,,N
536,netra73@example.com,,2,,Yes
537,ria77@example.net,3261,3,Bengaluru,No
538,irasethi@example.org,769,,Bengaluru,
539,sanyapandit@example.org,3519,,Mumbai,No
540,krishna79@example.net,,9,Bengaluru,No
541,takgarima@example.com,,9,,
542,parth22@example.org,,,Mumbai,
543,yprabhu@example.com,NA,7,Bengaluru,
544,patilgopal@example.org,,9,,Yes
545,,4478,,Hyderabad,N
546,yashodadhar@example.com,4149,9,,
547,upadhritinatarajan@example.com,,4,,
548,vasana08@example.org,4717,9,Bengaluru,No
549,ekajavig@example.com,737,9,Bengaluru,
550,,NA,,Bengaluru,No
551,unagi@example.com,,,Hyderabad,
552,sankaransh@example.com,NA,7,,
553,pallrudra@example.net,385,10,Mumbai,N
554,wchaudhari@example.net,268,,,
555,maanav92@example.com,4197,,,
556,wmemon@example.com,NA,3,Mumbai,No
557,,770,,Bengaluru,Yes
558,rishivyas@example.org,NA,7,Bengaluru,No
559,pillainathaniel@example.com,3557,,Hyderabad,Yes
560,zilmil50@example.com,3271,3,Mumbai,
561,yauvani33@example.com,,9,Hyderabad,
562,anusha42@example.net,NA,,Mumbai,N
563,falakramakrishnan@example.net,617,6,Hyderabad,Yes
564,pillaijagdish@example.net,4235,2,Mumbai,No
565,aarnav50@example.org,754,,,Y
566,raghavborde@example.net,,,Bengaluru,N
567,zayanbala@example.org,NA,,Hyderabad,Yes
568,gvala@example.net,NA,5,Mumbai,N
569,rudra55@example.org,,,Mumbai,
570,damyanti38@example.com,85,,Hyderabad,Yes
571,,2653,,,Yes
572,narayanirya@example.net,NA,,Bengaluru,No
573,pingleaishani@example.org,2940,9,Mumbai,Yes
574,,NA,7,Bengaluru,Yes
575,snazareth@example.net,4540,,Mumbai,Y
576,ekapadwarrior@example.com,NA,6,Hyderabad,
577,bhatiachandani@example.com,NA,,Bengaluru,No
578,buchqadim@example.net,NA,9,Mumbai,N
579,warora@example.org,NA,,Mumbai,N
580,sissac@example.com,NA,3,Hyderabad,Y
581,wazir01@example.org,NA,4,Bengaluru,
582,odey@example.net,3087,9,Mumbai,N
583,,NA,7,Bengaluru,No
584,sai35@example.net,4114,7,Mumbai,N
585,raksha45@example.com,2572,,,Y
586,ekonda@example.org,NA,8,Bengaluru,
587,gautami91@example.org,NA,9,Hyderabad,
588,choudhuryxavier@example.com,NA,,Hyderabad,
589,hardikborah@example.org,NA,,Mumbai,
590,yamini14@example.com,NA,,Hyderabad,
591,handaoni@example.net,230,9,Bengaluru,No
592,ebora@example.com,NA,,Mumbai,Y
593,,NA,5,Mumbai,Y
594,jwason@example.com,,8,Mumbai,No
595,samarth46@example.org,3839,,Mumbai,No
596,goursimon@example.net,,8,Bengaluru,Yes
597,jvig@example.com,NA,,Mumbai,Yes
598,ynatt@example.org,NA,,Bengaluru,N
599,pallaviguha@example.net,,7,,
600,ojasbhalla@example.org,1247,,,Y
601,qgolla@example.net,NA,9,,Yes
602,aiyengar@example.com,NA,,Mumbai,Y
603,amangal@example.com,NA,,Bengaluru,
604,jagdishbasak@example.net,NA,9,Hyderabad,
605,samesh12@example.net,39,,Mumbai,
606,ometa@example.org,NA,,Mumbai,
607,tkothari@example.net,NA,,Bengaluru,Yes
608,rachita34@example.com,1763,,Bengaluru,
609,pahalvenkataraman@example.org,,9,Bengaluru,No
610,ryan19@example.com,618,8,,N
611,fariqsidhu@example.com,NA,,,Yes
612,,NA,,,
613,ladli14@example.net,NA,9,Hyderabad,No
614,seshadrivictor@example.net,NA,,Bengaluru,Y
615,deokrisha@example.com,NA,,,
616,gaurangimani@example.org,1827,,Bengaluru,Yes
617,hardik04@example.net,3420,,Hyderabad,Yes
618,kavya13@example.com,,,,No
619,ekavir62@example.net,,10,Bengaluru,
620,maanasbhatti@example.com,,,,
621,jatin14@example.org,NA,9,Bengaluru,Y
622,matthewbir@example.org,NA,,Hyderabad,
